user,location,tweet,Tweet_punct
VeritasEver, ,"RT @MontyBoa99: @realDonaldTrump Trump lied when he claimed he sent the National Guard to DC. He *blocked* them from assisting. 

It took a…","RT MontyBoa realDonaldTrump Trump lied when he claimed he sent the National Guard to DC He blocked them from assisting 

It took a…"
IsItGreatYetBot,white house basement,@realDonaldTrump @POTUS Is America great yet?,realDonaldTrump POTUS Is America great yet
HoangYe03045534,Vietnam,"RT @IndigenousDancy: @realDonaldTrump .@realDonaldTrump a failure who never has or will have &amp;/or be:
• Noble Peace Prize
• Oscar 
• 2 Gram…","RT IndigenousDancy realDonaldTrump realDonaldTrump a failure who never has or will have ampor be
• Noble Peace Prize
• Oscar 
•  Gram…"
DTrumpInsulter,"Washington, DC","@realDonaldTrump I don’t want you to turn the other cheek, it’s just as ugly.",realDonaldTrump I don’t want you to turn the other cheek it’s just as ugly
Chiefs_Kingdom_,,RT @PTSDoffDaChains: @realDonaldTrump Almost.......... https://t.co/gB5fndAw6L,RT PTSDoffDaChains realDonaldTrump Almost httpstcogBfndAwL
comradel3ah,"Los Angeles, CA",@realDonaldTrump hey little shawty how’s this week been,realDonaldTrump hey little shawty how’s this week been
indiapharaoh,"Noida, चUttar Pradesh","@realdonaldtrump @SecPompeo 

As written in Jan 2017, Indian IT blocked all access, and we were crying then just li… https://t.co/EAyqQMgvBP","realdonaldtrump SecPompeo 

As written in Jan  Indian IT blocked all access and we were crying then just li… httpstcoEAyqQMgvBP"
MDSmith1824,"Home of Purdue, Lafayette, IN","RT @murray_nyc: @realDonaldTrump Meet the new president of the USA, Joe Biden, who will be sworn into office on January 20, 2021! https://t…",RT murraynyc realDonaldTrump Meet the new president of the USA Joe Biden who will be sworn into office on January   httpst…
CreateRealityOf,Où les anges chantent & jouent,"RT @CreateRealityOf: @realDonaldTrump @DonaldJTrumpJr @seanhannity If a President says an organization is the “enemy of the people”, and he…",RT CreateRealityOf realDonaldTrump DonaldJTrumpJr seanhannity If a President says an organization is the “enemy of the people” and he…
WillBobrow,United States,RT @scogq: @realDonaldTrump @FLOTUS this AND presidential aids? poor trumpet 😢 https://t.co/XLjooGxv8j,RT scogq realDonaldTrump FLOTUS this AND presidential aids poor trumpet 😢 httpstcoXLjooGxvj
ConHugeCo,Over Here,@realDonaldTrump testing 1 2 3,realDonaldTrump testing   
sensationalblis,Africana,@realDonaldTrump what's the latest news ???,realDonaldTrump whats the latest news 
TammySings72,"Wisconsin, USA",RT @WesMora4: @realDonaldTrump @Mike_Pence Why is it now on Pence? Do you realize it was YOU that lost this election.  Nobody should need t…,RT WesMora realDonaldTrump MikePence Why is it now on Pence Do you realize it was YOU that lost this election  Nobody should need t…
craftyho,,"RT @murray_nyc: @realDonaldTrump Meet the new president of the USA, Joe Biden, who will be sworn into office on January 20, 2021! https://t…",RT murraynyc realDonaldTrump Meet the new president of the USA Joe Biden who will be sworn into office on January   httpst…
Wes_Sexwater,,RT @DanielNewman: @realDonaldTrump She Called it!!  https://t.co/sqihmCzeTr,RT DanielNewman realDonaldTrump She Called it  httpstcosqihmCzeTr
PatrickGaryfal2,,@realDonaldTrump you don't prove a man is a liar by ripping out his tongue you're only proving you are fear what he might have to say,realDonaldTrump you dont prove a man is a liar by ripping out his tongue youre only proving you are fear what he might have to say
RTooled,Mars,"RT @RTooled: @realDonaldTrump “hey what can I do”, “I’m not a politician” he can say what the people are afraid to say. He knew they were c…",RT RTooled realDonaldTrump “hey what can I do” “I’m not a politician” he can say what the people are afraid to say He knew they were c…
reaISteveBannon,"Washington, DC",@realDonaldTrump I taught you every word in that tweet. You’re not a very quick learner!,realDonaldTrump I taught you every word in that tweet You’re not a very quick learner
cvhs59,"Denver, Colorado",RT @cvhs59: @realDonaldTrump It's your fault Mr. Trump.,RT cvhs realDonaldTrump Its your fault Mr Trump
